,question,answer
0,What is the incubation period of the virus?,"Longitudinal analysis of laboratory findings during the process of recovery for patients with COVID-19 : 4 days (IQR, 2-7)
Epidemiological Characteristics of COVID-19; a Systemic Review and Meta-Analysis 1 : 5.84 (99% CI: 4.83, 6.85) days
Evolving epidemiology of novel coronavirus diseases 2019 and possible interruption of local transmission outside Hubei Province in China: a descriptive and modeling study : mean incubation period of 5.2 days
Clinical characteristics and durations of hospitalized patients with COVID-19 in Beijing: a retrospective cohort study : 4 (3-7) days
Clinical features and obstetric and neonatal outcomes of pregnant patients with COVID-19 in Wuhan, China: a retrospective, single-centre, descriptive study : 5 days (range 2-9 days)
Epidemiological parameters of coronavirus disease 2019: a pooled analysis of publicly reported individual data of 1155 cases from seven countries Summary Background : 7.44 days
Epidemiological, clinical and virological characteristics of 74 cases of coronavirus-infected disease 2019 (COVID-19) with gastrointestinal symptoms : 4 days (IQR 3-7 days)
Is a 14-day quarantine period optimal for effectively controlling coronavirus disease 2019 (COVID-19)? : The median incubation period of both male and female adults was similar (7-day) but significantly shorter than that (9-day) of child cases
The difference in the incubation period of 2019 novel coronavirus (SARS-CoV-2) infection between travelers to Hubei and non-travelers: The need of a longer quarantine period : 1.8 and 7.2 days
Clinical Characteristics of 34 Children with Coronavirus Disease-2019 in the West of China: a Multiple-center Case Series : 10.50 (7.75 -25.25) days
Investigation of three clusters of COVID-19 in Singapore: implications for surveillance and response measures : 4 days (IQR 3-6)
Estimation of incubation period distribution of COVID-19 using disease onset forward time: a novel cross-sectional and forward follow-up study : median of incubation period is 8Â·13 days (95% confidence interval [CI]: 7Â·37-8Â·91), the mean is 8Â·62 days (95% CI: 8Â·02-9Â·28)
Clinical Characteristics of SARS-CoV-2 Pneumonia Compared to Controls in Chinese Han Population : 4 days (IQR, 2 to 7)
The Incubation Period of Coronavirus Disease 2019 (COVID-19) From Publicly Reported Confirmed Cases: Estimation and Application : 5.1 days (CI, 4.5 to 5.8 days)
Transmission of corona virus disease 2019 during the incubation period may lead to a quarantine loophole : 4.9 days (95% confidence interval [CI], 4.4 to 5.4) days
Transmission interval estimates suggest pre-symptomatic spread of COVID-19 : 7.1 (6.13, 8.25) days for Singapore and 9 (7.92, 10.2) days for Tianjin
Transmission and clinical characteristics of coronavirus disease 2019 in 104 outside-Wuhan patients, China : 6 days, ranged from 1 to 32 days
Characteristics of COVID-19 infection in Beijing : 6.7 days
Epidemiologic and Clinical Characteristics of 91 Hospitalized Patients with COVID-19 in Zhejiang, China: A retrospective, multi-centre case series : 6 (IQR, 3-8) days
Title: A descriptive study of the impact of diseases control and prevention on the epidemics 1 dynamics and clinical features of SARS-CoV-2 outbreak in Shanghai, lessons learned for : 6.4 days (95% 175 CI 5.3 to 7.6)
A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster : 3-6 days
Epidemiological characteristics of 1212 COVID-19 patients in Henan, China. medRxiv : average, mode and median incubation periods are 7.4, 4 and 7 days
Incubation Period and Other Epidemiological Characteristics of 2019 Novel Coronavirus Infections with Right Truncation: A Statistical Analysis of Publicly Available Case Data : 5.6 days (95% CI: 4.4, 7.4)
Title: The incubation period of 2019-nCoV infections among travellers from Wuhan, China : 6.4 (5.6 -7.7, 95% CI) days
"
1,What is the length of viral shedding after illness onset?,"Viral Kinetics and Antibody Responses in Patients with COVID-19 : 2 days (range, 3-38 ) in nasopharyngeal swabs, 19 days (range, 5-37) in sputum and 18 days (range, 7-26) in stools
Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study : 20Â·0 days (IQR 17Â·0-24Â·0)
"
2,What is the incubation period across different age groups?,"Children are unlikely to have been the primary source of household SARS-CoV-2 infections : 7.74 d Â± 3.22
Is a 14-day quarantine period optimal for effectively controlling coronavirus disease 2019 (COVID-19)? : median incubation period of both male and female adults was similar (7-day) but significantly shorter than that (9-day) of child cases
Clinical Characteristics of 34 Children with Coronavirus Disease-2019 in the West of China: a Multiple-center Case Series : 10.50 (7.75 -25.25) days
"
3,What is the proportion of patients who were asymptomatic?,"A considerable proportion of individuals with asymptomatic SARS-CoV-2 infection in Tibetan population : 21.7%
High incidence of asymptomatic SARS-CoV-2 infection, Chongqing, China : 19%
High transmissibility of COVID-19 near symptom onset : there were 32 laboratory-confirmed COVID-19 patients, including five household/family clusters and four asymptomatic patients
Epidemiological parameters of coronavirus disease 2019: a pooled analysis of publicly reported individual data of 1155 cases from seven countries : 49 (14.89%) were asymptomatic
Estimating the Asymptomatic Proportion of 2019 Novel Coronavirus onboard the Princess Cruises Ship, 2020 : 17.9%
Clinical Characteristics of 24 Asymptomatic Infections with COVID-19 Screened among Close Contacts in Nanjing, China : The remaining 7 (29.2%) cases showed normal CT image and had no symptoms during hospitalization.
Characteristics of COVID-19 infection in Beijing : 13 (5.0%) asymptomatic cases
"
4,What is the proportion of pediatric patients who were asymptomatic?,"Epidemiological and Clinical Characteristics of Children with Coronavirus Disease 2019 : 20 (27.03%) cases
Articles Clinical and epidemiological features of 36 children with coronavirus disease 2019 (COVID-19) in Zhejiang, China: an observational cohort study : ten (28%) patients
High incidence of asymptomatic SARS-CoV-2 infection, Chongqing, China : 28.6%
Title: The clinical and epidemiological features and hints of 82 confirmed COVID-19 pediatric cases aged 0-16 in Wuhan, China : 8 no symptoms
Preliminary epidemiological analysis on children and adolescents with novel coronavirus disease 2019 outside Hubei Province, China: an observational study utilizing crowdsourced data : 2 (8.0%) cases
The different clinical characteristics of corona virus disease cases between children and their families in China -the character of children with COVID-19 : six (66.7%) children
"
5,What is the asymptomatic transmission during incubation?,"Temporal dynamics in viral shedding and transmissibility of COVID-19 : 44% of transmission prior to symptom onset
Transmission of corona virus disease 2019 during the incubation period may lead to a quarantine loophole : (73.0%) were infected before the symptom onset of the first-generation cases
Epidemiological parameters of coronavirus disease 2019: a pooled analysis of publicly reported individual data of 1155 cases from seven countries Summary Background : In 102 (43.78%) infector-infectee pairs, transmission occurred before infectors' symptom onsets
Transmission of corona virus disease 2019 during the incubation period may lead to a quarantine loophole : (73.0%) were infected before the symptom onset of the first-generation cases
Title: The serial interval of COVID-19 from publicly reported confirmed cases Running Head: The serial interval of COVID-19 : 12.6% of reports indicating pre-symptomatic transmission
"
6,What is the length of viral shedding in stool?,"Do children need a longer time to shed SARS- CoV-2 in stool than adults? : 100% positive on the third week after onset and 30% positive 29 days later
Evaluation of SARS-CoV-2 RNA shedding in clinical specimens and clinical characteristics of 10 patients with COVID-19 in Macau : detected in feces till 14 days after the onset of symptoms
Viral Kinetics and Antibody Responses in Patients with COVID-19 : 18 days (range, 7-26)
Virus shedding patterns in nasopharyngeal and fecal specimens of COVID-19 patients 2 3 : 22.0 days (IQR 15.5 to 23.5)
"
7,What is the length of viral shedding from the nasopharynx?,"Virus shedding patterns in nasopharyngeal and fecal specimens of COVID-19 patients 2 3 : 10.0 days (IQR 8.0 to 17.0)
Viral Kinetics and Antibody Responses in Patients with COVID-19 : 12 days (range, 3-38 )
"
8,What is the length of viral shedding in urine?,"Virus shedding patterns in nasopharyngeal and fecal specimens of COVID-19 patients 2 3 : all patient data were and urine samples were all negative, except for urine samples from two 53 severe cases at the latest available detection point (16 or 21 d.a.o)
"
9,What is the length of viral shedding in blood?,"Comparisons of nucleic acid conversion time of SARS-CoV-2 of different samples in ICU and non-ICU patients Conversion time of SARS-CoV-2 RT-PCR in ICU and non-ICU patients Letter to the Editor Comparisons of nucleic acid conversion time of SARS-CoV-2 of different samples in ICU and non-ICU patients : 10.17 Â± 6.134 and 14.63 Â± 5.878 days in non-ICU and ICU patients respectively
"
10,What is the prevalence of viral shedding in blood?,"Viral Kinetics and Antibody Responses in Patients with COVID-19 : 12 plasmas (5.7%) from 9 patients (14.3%) were positive
"
11,What is the sensitivity and specificity of COVID-19 tests?,"Journal Pre-proof COVID-19 pneumonia: a review of typical CT findings and differential diagnosis COVID-19 pneumonia: a review of typical CT findings and differential diagnosis : A large series based on 1014 patients reported a 97% sensitivity of chest CT for the diagnosis of COVID-19, while the mean time interval between initial negative and positive RT-PCR was approximately 5 days
Highly accurate and sensitive diagnostic detection of SARS-CoV-2 by digital PCR : The overall sensitivity, specificity and diagnostic accuracy of RT-dPCR were 90%, 100% and 93 %, respectively
Serological detection of 2019-nCoV respond to the epidemic: A useful complement to nucleic acid testing : The areas under the ROC curves of IgM and IgG were 0.988 and 1.000, respectively.
Clinical significance of IgM and IgG test for diagnosis of highly suspected COVID-19 infection : The positive detection rate of combination of IgM and IgG for patients with COVID-19 negative and positive nucleic acid test was 72.73% and 87.50%.
Imaging manifestations and diagnostic value of chest CT of coronavirus disease 2019 (COVID-19) in the Xiaogan area : the overall accuracy rate of CT examination in the present study was 97.3%
Rapid Molecular Detection of SARS-CoV-2 (COVID-19) Virus RNA Using Colorimetric LAMP : colorimetric LAMP assay showed 100% agreement with the RT-qPCR results across a range of C q values
Diagnosis of the Coronavirus disease (COVID-19): rRT-PCR or CT? : sensitivity was therefore 97.2%
Rapid colorimetric detection of COVID-19 coronavirus using a reverse tran- scriptional loop-mediated isothermal amplification (RT-LAMP) diagnostic plat- form: iLACO : iLACO is very sensitive, and as low as 10 copies of ORF1ab gene were detected successfully
"
12,How does temperature affect the transmission of COVID-19?,"Eco-epidemiological assessment of the COVID-19 epidemic in China : Adjusted incidence rate ratios suggested brighter, warmer and drier conditions were associated with lower incidence
Climate effect on COVID-19 spread rate: an online surveillance tool : a plausible negative correlation between warmer climate and COVID-19 spread rate
Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal : a 1 â€¢ C increase in local temperature reduces new COVID-19 cases per 1 million people by 13%, with a 95% confidence interval of [-21%, -4%]
Climate affects global patterns of COVID-19 early outbreak dynamics : Temperature and humidity strongly impact the variation of the growth rate of Covid-19 cases across the globe
Preliminary evidence that higher temperatures are associated with lower incidence of COVID-19, for cases reported globally up to 29th February 2020 : higher average temperature was strongly associated with lower COVID-19 incidence for temperatures of 1Â°C and higher
"
13,How does humidity affect the transmission of COVID-19?,"Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China : both per 1 unit increase of temperature and absolute humidity were related to the decreased COVID-19 death counts
Role of temperature and humidity in the modulation of the doubling time of COVID-19 cases : doubling time correlates positively with temperature and inversely with humidity, suggesting that a decrease in the rate of progression of COVID-19 with the arrival of spring and summer in the north hemisphere
Title: Climate Affects Global Patterns Of Covid-19 Early Outbreak Dynamics : humidity strongly impact the variation of the growth rate of Covid-19 cases across the globe
"
14,How does seasonality affect the transmission of COVID-19?,"Projecting the transmission dynamics of SARS-CoV-2 through the post-pandemic period : Winter/spring establishments favored longer-lasting outbreaks with shorter peaks (Fig 3A) , while autumn/winter establishments led to more acute outbreaks (Fig 3B) 
Susceptible supply limits the role of climate in the COVID-19 pandemic : summer temperatures will not substantially limit pandemic growth
Title: Modeling the Corona Virus Outbreak in IRAN : available data is too small to identify seasonal patterns and make predictable variation in value
Application of the ARIMA model on the COVID- 2019 epidemic dataset : prevalence and incidence of COVID-2019 are not influenced by the seasonality
Potential impact of seasonal forcing on a SARS-CoV-2 pandemic : seasonal variation might slow down a pandemic
A spatial model of CoVID-19 transmission in England and Wales: early spread and peak timing : Seasonal changes in transmission rate could shift the timing of the peak into winter months
Projecting the transmission dynamics of SARS-CoV-2 through the post-pandemic period : HCoV-OC43 and HCoV-HKU1 cause annual wintertime outbreaks of respiratory illness in temperate regions (9, 10), suggesting that wintertime climate and host behaviors may facilitate transmission, as is true for influenza
Social distancing strategies for curbing the COVID-19 epidemic : If SARS-Cov-2 transmission is similarly subject to seasonal forcing, summer outbreaks would naturally have lower peaks than winter outbreaks
"
15,What purity of ethanol inactivates COVID-19?,"Efficient inactivation of SARS-CoV-2 by WHO-recommended hand rub formulations and alcohols : WHO 21 formulation I, based on 85 % ethanol, efficiently inactivated the virus with reduction 22 factors
Efficient inactivation of SARS-CoV-2 by WHO-recommended hand rub formulations and alcohols : Both alcohols, ethanol (Fig. 9 2A) and 2-propanol ( Fig. 2B) were able to reduce viral titers in 30 s exposure
Efficient inactivation of SARS-CoV-2 by WHO-recommended hand rub formulations and alcohols : minimal concentration of 30 % ethanol or 2-propanol is sufficient for viral 12 inactivation
"
16,What is the temperature used for inactivating COVID-19?,"Can N95 respirators be reused after disinfection? And for how many times? : heating (dry or in the presence humidity) <100 Â°C can preserve the filtration characteristics of a pristine N95 respirator
Rapid evidence summary on SARS-CoV-2 survivorship and disinfection, and a reusable PPE protocol using a double-hit process : 60Â°C for 90 minutes
"
17,What is the UVGI intensity used for inactivating COVID-19?,"Can N95 respirators be reused after disinfection? And for how many times? : (254 nm, 17 mW/cm 2 )
Rapid evidence summary on SARS-CoV-2 survivorship and disinfection, and a reusable PPE protocol using a double-hit process : at least 1,000 mJ/cm 2
"
18,How large is the sample size used in COVID-19 studies?,"Longitudinal analysis of laboratory findings during the process of recovery for patients with COVID-19 : 59 cases
Evolving epidemiology of novel coronavirus diseases 2019 and possible interruption of local transmission outside Hubei Province in China: a descriptive and modeling study : 49 cases
Epidemiological parameters of coronavirus disease 2019: a pooled analysis of publicly reported individual data of 1155 cases from seven countries Summary Background : 587 cases
Is a 14-day quarantine period optimal for effectively controlling coronavirus disease 2019 (COVID-19)? : 2015 cases
Investigation of three clusters of COVID-19 in Singapore: implications for surveillance and response measures : 36 individuals
Estimation of incubation period distribution of COVID-19 using disease onset forward time: a novel cross-sectional and forward follow-up study : sample size of 1211
Epidemiologic Characteristics of COVID-19 in Guizhou, China Affiliations: Guizhou Center for Disease Control and Prevention Abstract : 162 cases
Clinical Characteristics of SARS-CoV-2 Pneumonia Compared to Controls in Chinese Han Population : 69 hospitalized patients
Transmission and clinical characteristics of coronavirus disease 2019 in 104 outside-Wuhan patients, China : 104 cases
Epidemiological characteristics of 1212 COVID-19 patients in Henan, China. medRxiv : 1212 patients
Title: The incubation period of 2019-nCoV infections among travellers from Wuhan, China : 88 confirmed cases
Viral Kinetics and Antibody Responses in Patients with COVID-19 : 67 patients
Children are unlikely to have been the primary source of household SARS-CoV-2 infections : 40 articles
A considerable proportion of individuals with asymptomatic SARS- CoV-2 infection in Tibetan population : 83 cases
Epidemiological parameters of coronavirus disease 2019: a pooled analysis of publicly reported individual data of 1155 cases from seven countries Summary Background : 329 cases
Estimating the Asymptomatic Proportion of 2019 Novel Coronavirus onboard the Princess Cruises Ship, 2020 : 634 cases,
Characteristics of COVID-19 infection in Beijing : 262 patients
Articles Clinical and epidemiological features of 36 children with coronavirus disease 2019 (COVID-19) in Zhejiang, China: an observational cohort study : 36 children
Title: The clinical and epidemiological features and hints of 82 confirmed COVID-19 pediatric cases aged 0-16 in Wuhan, China : 82 confirmed cases
Evaluation of SARS-CoV-2 RNA shedding in clinical specimens and clinical characteristics of 10 patients with COVID-19 in Macau : 10 cases
Comparisons of nucleic acid conversion time of SARS-CoV-2 of different samples in ICU and non-ICU patients Conversion time of SARS-CoV-2 RT-PCR in ICU and non-ICU patients Letter to the Editor Comparisons of nucleic acid conversion time of SARS-CoV-2 of different samples in ICU and non-ICU patients : thirty-two patients
Molecular and serological investigation of 2019-nCoV infected patients: implication of multiple shedding routes : 16 people
Prolonged viral shedding in feces of pediatric patients with coronavirus disease 2019 : three paediatric cases
History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study : 275 publicly reported confirmed cases
Title: Clinical characteristics associated with COVID-19 severity in California : 54 patients
Title: Epidemiological and clinical features of 291 cases with coronavirus disease 2019 in areas adjacent to Hubei, China: a double-center observational study : 291 patients
Neurological Manifestations of Hospitalized Patients with COVID-19 in Wuhan, China: a retrospective case series study : 214 patients
Neutrophil-to-Lymphocyte Ratio Predicts Severe Illness Patients with 2019 Novel Coronavirus in the Early Stage : 61 patients
"
19,What is the RR for severe infection in COVID-19 patients with hypertension?,"The relationship of COVID-19 severity with cardiovascular disease and its traditional risk factors: A systematic review and meta-analysis : hypertension (10 studies; 2.74 [2.12-3.54])
Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis Running title: Predictors of clinical prognosis of COVID-19 : hypertension (RR = 4.48; 95% CI
"
20,What is the HR for severe infection in COVID-19 patients with hypertension?,"Comorbidity and its impact on 1,590 patients with COVID-19 in China: A Nationwide Analysis : hypertension (HR 1.58, 95%CI 1.07-2.32)
"
21,What is the OR for severe infection in COVID-19 patients with hypertension?,"Effects of hypertension, diabetes and coronary heart disease on COVID-19 diseases severity: a systematic review and meta-analysis : There were significant correlations between COVID-19 severity and hypertension [OR=2.3 [95% CI (1.76, 3.00), P<0.01]
Systematic review and meta-analysis of predictive symptoms and comorbidities for severe COVID-19 infection : hypertension (1.97, 95% CI 1.40 -2.77)
Prevalence of comorbidities in the novel Wuhan coronavirus (COVID-19) infection: a systematic review and meta-analysis Prevalence of comorbidities in the Novel Wuhan Coronavirus (COVID-19) infection: a systematic review and meta-analysis : the pooled odds ratio of hypertension, respiratory system disease, cardiovascular disease in severe patients were (OR 2.36, 95% CI: 1.46-3.83) ,(OR 2.46, 95% CI: 1.76-3.44) and (OR 3.42, 95% CI: 1.88-6.22)respectively
"
22,What is the mortality rate for COVID-19 patients with hypertension?,"Development and external validation of a prognostic multivariable model on admission for hospitalized patients with COVID-19 : Patients with hypertension, showed a significantly higher mortality rate (p<0Â·001).
"
23,What is the OR for severe infection in COVID-19 patients with diabetes?,"Risk factors for severe corona virus disease 2019 (COVID-19) patients : a systematic review and meta analysis : OR = 3.04 [2.01, 4.60]
Effects of hypertension, diabetes and coronary heart disease on COVID-19 diseases severity: a systematic review and meta-analysis : [OR=2.67, 95% CI (1.91, 3.74), P<0.01]
Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis Running title: Predictors of clinical prognosis of COVID-19 : 2.49; 95% CI, ; n = 10; I 2 = 44%
Journal Pre-proof Prevalence of comorbidities in the novel Wuhan coronavirus (COVID-19) infection: a systematic review and meta-analysis Prevalence of comorbidities in the Novel Wuhan Coronavirus (COVID-19) infection: a systematic review and meta-analysis : OR 2.07, 95% CI: 0.89-4.82
Journal Pre-proof Prevalence of comorbidities in the novel Wuhan coronavirus (COVID-19) infection: a systematic review and meta-analysis Prevalence of comorbidities in the Novel Wuhan Coronavirus (COVID-19) infection: a systematic review and meta-analysis : OR 2.07, 95% CI: 0.89-4.82
"
24,What is the RR for severe infection in COVID-19 patients with diabetes?,"The relationship of COVID-19 severity with cardiovascular disease and its traditional risk factors: A systematic review and meta-analysis : relative risk estimate of 2.81 (2.01-3.93)
"
25,What is the HR for death in COVID-19 patients with diabetes?,"History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study : HR=1.1, p=0.61
"
26,What is the AHR for death in COVID-19 patients with diabetes?,"Comorbid Diabetes Mellitus was Associated with Poorer Prognosis in Patients with COVID-19: A Retrospective Cohort Study : [aHR]=3.64; 95% confidence interval [CI]: 1.09, 12.21
"
